bodypartscoords,nosex,nose.1y,nose.2likelihood,earLx.1,earL.1y.1,earL.2likelihood.1,earRx.2,earR.1y.2,earR.2likelihood.2,schoulderLx.3,schoulderL.1y.3,schoulderL.2likelihood.3,schoulderRx.4,schoulderR.1y.4,schoulderR.2likelihood.4,tailbasex.5,tailbase.1y.5,tailbase.2likelihood.5,videoname
0,780.0515747070312,552.4083862304688,2.643146763148252e-05,781.2006225585938,556.4057006835938,7.264427040354349e-06,139.7781219482422,5.848733901977539,4.259302841091994e-06,780.1520385742188,554.967529296875,2.2646398065262478e-05,780.6941528320312,553.1134643554688,0.0004773079999722,781.5370483398438,552.133544921875,0.4759194850921631,CDKL_P_CD7
1,780.0515747070312,552.4083862304688,2.643146763148252e-05,781.2006225585938,556.4057006835938,7.264427040354349e-06,139.7781219482422,5.848733901977539,4.259302841091994e-06,780.1520385742188,554.967529296875,2.2646398065262478e-05,780.6941528320312,553.1134643554688,0.0004773079999722,781.5370483398438,552.133544921875,0.4759194850921631,CDKL_P_CD7
2,779.98291015625,552.3812255859375,2.63970341620734e-05,781.128173828125,556.3939208984375,6.468562332884176e-06,139.94046020507812,5.822410583496094,4.035567599203205e-06,780.0902709960938,554.9093627929688,1.9476658053463325e-05,780.6495971679688,553.09521484375,0.0004700315766967,781.5243530273438,552.0851440429688,0.4717749655246734,CDKL_P_CD7
3,139.05308532714844,4.180420398712158,2.073739597108215e-05,781.4070434570312,556.6044921875,3.2425698464066954e-06,139.911865234375,5.919275283813477,3.5492189454089385e-06,780.5299682617188,554.7897338867188,9.731919817568269e-06,780.9768676757812,553.0245971679688,0.0002806662814691,781.8311767578125,552.0397338867188,0.2977966964244842,CDKL_P_CD7
5,139.0888671875,4.188992023468018,1.8574104615254328e-05,143.48178100585938,1.4840998649597168,2.1514179024961777e-06,139.89395141601562,5.942028045654297,3.288585958216572e-06,777.0126342773438,554.8236083984375,5.729193162551383e-06,780.8945922851562,552.9447021484375,0.0001871658460004,781.9708862304688,552.1798706054688,0.1221883445978164,CDKL_P_CD7
6,139.25169372558594,4.068480014801025,1.8348509911447763e-05,143.57518005371094,1.427961349487305,2.176630914618727e-06,140.00050354003906,5.819681644439697,3.4576405596453696e-06,777.181396484375,554.9209594726562,6.196675712999422e-06,781.0867919921875,553.0239868164062,0.000213864899706,782.177734375,552.248291015625,0.1361104846000671,CDKL_P_CD7
7,139.25709533691406,4.153192043304443,1.7520862456876785e-05,143.58340454101562,1.4710147380828855,1.947100827237591e-06,139.99830627441406,5.94166374206543,3.0592050279665277e-06,777.2958374023438,554.97412109375,5.945186785538681e-06,781.27978515625,553.0088500976562,0.0002443154808133,782.2332153320312,552.1017456054688,0.1401452422142028,CDKL_P_CD7
8,139.14051818847656,4.105156421661377,1.7274416677537374e-05,143.47604370117188,1.4672608375549316,2.0558186406560708e-06,139.92739868164062,5.987831115722656,3.2486771033291006e-06,777.1119384765625,554.697265625,5.031544787925668e-06,781.1735229492188,552.9113159179688,0.0001614672510186,782.1553955078125,552.07421875,0.0968802571296691,CDKL_P_CD7
10,139.02508544921875,4.116866111755371,1.9546845578588545e-05,143.37371826171875,1.5432367324829102,2.515959522497724e-06,139.8538360595703,5.892315864562988,3.743351953744423e-06,777.2174072265625,554.8026123046875,6.502505584649043e-06,781.19091796875,552.9435424804688,0.0001721726584946,782.0276489257812,552.044921875,0.2003119438886642,CDKL_P_CD7
11,139.1307830810547,4.079153060913086,1.898879963846412e-05,781.578369140625,556.7274780273438,2.351430111957597e-06,139.92239379882812,5.872725009918213,3.4917450193461264e-06,777.0547485351562,554.664794921875,7.605816335853888e-06,781.1187133789062,552.9461059570312,0.0002120304561685,781.9078979492188,551.9542846679688,0.2263732850551605,CDKL_P_CD7
12,139.19369506835938,4.00302267074585,2.0580768250511028e-05,143.4713134765625,1.4556186199188232,2.4534037947887555e-06,139.87847900390625,5.83259391784668,3.87433738069376e-06,776.9932861328125,554.5347290039062,5.77967011849978e-06,781.0567626953125,552.7239990234375,0.0001641456910874,781.9674682617188,551.8710327148438,0.1190681457519531,CDKL_P_CD7
13,139.0381317138672,4.078035354614258,1.6638467059237882e-05,143.52110290527344,1.5364809036254885,1.9430663087405264e-06,139.90023803710938,5.916857719421387,3.005802682309877e-06,776.9539794921875,554.4920654296875,5.238782250671648e-06,780.9669189453125,552.529052734375,0.0001487692497903,781.841552734375,551.73486328125,0.1006865873932838,CDKL_P_CD7
14,139.1205596923828,3.9278604984283447,1.969077675312292e-05,143.4484405517578,1.606950759887695,2.206296812801156e-06,139.8368682861328,5.735840320587158,3.5197317629354075e-06,776.8048095703125,554.4990844726562,5.352428615879035e-06,780.763671875,552.4722900390625,0.0001634455402381,781.646728515625,551.69482421875,0.0987329557538032,CDKL_P_CD7
15,138.98350524902344,4.0234904289245605,1.7961716366698965e-05,143.37074279785156,1.555236577987671,1.908062586153392e-06,139.75645446777344,5.906709671020508,3.0490950848616194e-06,777.1338500976562,554.5916137695312,4.376832293928601e-06,781.1331787109375,552.7035522460938,0.0001414137805113,782.0087890625,551.7752075195312,0.0868662074208259,CDKL_P_CD7
16,139.1337890625,4.012587547302246,1.8508311768528077e-05,781.5111694335938,556.538818359375,2.2839017219666857e-06,139.83251953125,5.804378032684326,3.3191327020176686e-06,776.9579467773438,554.5203857421875,7.682426257815678e-06,780.8963623046875,552.698974609375,0.0001949365250766,781.7066650390625,551.6901245117188,0.217541292309761,CDKL_P_CD7
17,139.0668182373047,4.03428316116333,1.8084781913785264e-05,781.6452026367188,556.83251953125,2.2335414087137906e-06,139.8468017578125,5.753268718719482,3.295693659310928e-06,777.1893920898438,554.6939697265625,7.666061719646677e-06,781.2958984375,553.0037231445312,0.000203038638574,781.9878540039062,551.9840698242188,0.2242666035890579,CDKL_P_CD7
18,139.0465850830078,4.08560037612915,2.315523670404218e-05,143.4188690185547,1.7624101638793943,2.52305767389771e-06,139.80221557617188,5.858161449432373,4.1085813791141845e-06,777.0940551757812,554.703857421875,7.173066478571855e-06,781.155517578125,552.8776245117188,0.0001841192279243,781.8856201171875,551.893798828125,0.2174582630395889,CDKL_P_CD7
19,138.98374938964844,4.0410871505737305,1.849696673161816e-05,143.40858459472656,1.5867328643798828,2.0593431599991163e-06,139.7634735107422,5.808423042297363,3.145064511045348e-06,777.0155639648438,554.7550048828125,6.7544706325861625e-06,781.0110473632812,552.9180297851562,0.0001791597896954,781.8223266601562,551.9774169921875,0.2262700200080871,CDKL_P_CD7
20,139.06759643554688,4.128515243530273,1.7478854715591297e-05,781.5065307617188,556.8748168945312,1.9193944353901315e-06,139.78863525390625,5.882419586181641,2.9269976948853582e-06,776.9962768554688,554.8641357421875,7.883336365921423e-06,780.9374389648438,552.8772583007812,0.000234353574342,781.6937255859375,551.9157104492188,0.2156482934951782,CDKL_P_CD7
21,139.1125030517578,4.07428503036499,1.8762426407192837e-05,781.4666748046875,556.6975708007812,2.8814761208195705e-06,139.9193572998047,5.777048587799072,3.1109207156987395e-06,777.0679931640625,554.8160400390625,9.331614819529932e-06,781.0017700195312,552.9722900390625,0.0002159082359867,781.8020629882812,551.9369506835938,0.280941754579544,CDKL_P_CD7
23,139.0263214111328,4.040093421936035,2.367629531363491e-05,143.4689483642578,1.7175390720367432,2.891247731895419e-06,139.89108276367188,5.625333786010742,4.3534823817026336e-06,777.2061157226562,554.8245849609375,6.546221811731812e-06,781.2373046875,552.9910278320312,0.0001853556022979,781.9811401367188,551.9706420898438,0.156157985329628,CDKL_P_CD7
24,138.93475341796875,4.026323318481445,1.9757044356083497e-05,143.37570190429688,1.6539461612701416,2.693133637876599e-06,139.8976593017578,5.732647895812988,4.070346221851651e-06,777.0723876953125,554.7929077148438,6.504261364170816e-06,781.0750732421875,552.99755859375,0.0001739319559419,781.8336181640625,551.9852905273438,0.1603311896324157,CDKL_P_CD7
25,138.9151611328125,3.98090934753418,1.7860291336546652e-05,143.43849182128906,1.5212631225585938,2.371712980675511e-06,139.86912536621094,5.874117851257324,3.6766673474630807e-06,776.998046875,554.6295776367188,6.742191999364877e-06,781.060302734375,552.8440551757812,0.0001795625430531,781.8441772460938,551.8953247070312,0.1546110063791275,CDKL_P_CD7
26,139.0646209716797,4.0440168380737305,1.7342505088890903e-05,143.5743865966797,1.4951436519622805,2.032699285337003e-06,139.9224853515625,5.786040306091309,3.284799504399416e-06,776.9818725585938,554.695068359375,7.55146629671799e-06,780.9510498046875,552.8694458007812,0.0001877659087767,781.691162109375,551.9525756835938,0.2298135459423065,CDKL_P_CD7
27,138.90029907226562,4.0693230628967285,1.3125782061251812e-05,781.4227905273438,556.7090454101562,2.286303242726717e-06,139.894775390625,5.912223815917969,2.463974169586436e-06,776.9451904296875,554.7343139648438,7.979708243510686e-06,780.8319702148438,552.8569946289062,0.0001839328906498,781.6026611328125,551.8660278320312,0.2637867927551269,CDKL_P_CD7
28,139.05194091796875,4.116714477539063,1.5545261703664437e-05,821.1967163085938,0.198967695236206,1.8975775901708405e-06,139.8981475830078,5.87594747543335,2.756434014372644e-06,777.0387573242188,554.71142578125,6.013378424540861e-06,781.0825805664062,552.787109375,0.0001496567711001,781.8616943359375,551.9119262695312,0.1467437595129013,CDKL_P_CD7
30,139.07652282714844,4.1814866065979,1.7082271369872615e-05,821.3397827148438,0.1066348552703857,2.912318450398743e-06,139.9595489501953,5.956249713897705,2.988227606692817e-06,816.3162841796875,2.0123791694641118,7.105337772372877e-06,781.0609130859375,552.9285278320312,0.0001697317056823,781.8511352539062,551.972900390625,0.2395766526460647,CDKL_P_CD7
31,139.2830047607422,4.20330810546875,2.166175363527145e-05,143.544677734375,1.5995566844940186,2.6276459266227903e-06,140.01515197753906,5.757766246795654,4.4032285586581565e-06,777.0592651367188,554.7918090820312,7.631078915437683e-06,781.0364379882812,552.8709106445312,0.0001593153137946,781.8602905273438,551.9060668945312,0.2594605386257171,CDKL_P_CD7
32,139.1759796142578,4.236058235168457,2.070867958536837e-05,143.48171997070312,1.5988686084747314,2.593510998849524e-06,139.93287658691406,5.748917579650879,4.1168887037201785e-06,776.9132690429688,554.908203125,7.922836630314123e-06,780.8607177734375,553.0206298828125,0.0002136120019713,781.7359008789062,552.0914306640625,0.2080421596765518,CDKL_P_CD7
33,139.1175994873047,4.106276988983154,1.867014725576155e-05,143.5771026611328,1.4578368663787842,2.484564220139873e-06,139.96897888183594,5.836330890655518,3.660583843156928e-06,777.1582641601562,554.9554443359375,7.248829206218943e-06,781.1972045898438,553.0820922851562,0.0001970451849047,782.0232543945312,552.0635986328125,0.2073329091072082,CDKL_P_CD7
34,139.0428924560547,4.184023857116699,1.7467142242821865e-05,143.5841064453125,1.5547683238983154,2.15735963138286e-06,139.89991760253906,5.763467311859131,3.4647966913325945e-06,776.9093017578125,554.8528442382812,8.126126886054408e-06,780.841064453125,552.8712768554688,0.000181717594387,781.6685180664062,551.9932250976562,0.2454905062913894,CDKL_P_CD7
35,139.11041259765625,4.009180068969727,1.7360987840220332e-05,143.6415557861328,1.5795040130615234,2.059686721622711e-06,139.91175842285156,5.725827217102051,3.303623770989361e-06,776.993896484375,554.9153442382812,6.723275873810053e-06,781.0568237304688,552.8890991210938,0.0001949723955476,781.8596801757812,551.9878540039062,0.1939689517021179,CDKL_P_CD7
36,139.05845642089844,4.039000034332275,1.5831161363166757e-05,821.0614013671875,0.345569372177124,2.0476475128816678e-06,139.8836669921875,5.7642598152160645,3.0118023914837977e-06,776.9535522460938,554.6709594726562,6.046208000043407e-06,781.0692138671875,552.8241577148438,0.0001534205657662,781.8850708007812,551.924072265625,0.148169532418251,CDKL_P_CD7
37,139.0325164794922,3.979095697402954,1.6144998880918138e-05,821.057861328125,0.2732188701629638,2.115582219630596e-06,139.90399169921875,5.793859481811523,2.9891825761296782e-06,777.2913208007812,554.710205078125,5.149399839865509e-06,781.5081787109375,552.9696044921875,0.0001246319734491,782.3014526367188,551.982666015625,0.1246906742453575,CDKL_P_CD7
38,138.85951232910156,3.9079606533050537,1.952877028088551e-05,143.4259490966797,1.5465803146362305,2.5783419914660044e-06,139.8279266357422,5.785405158996582,3.860535798594356e-06,777.239501953125,554.8184814453125,7.279018518602243e-06,781.3839721679688,553.0404663085938,0.0001520062069175,782.1883544921875,552.0025634765625,0.2170131802558899,CDKL_P_CD7
39,138.90890502929688,4.010920524597168,1.7623367966734804e-05,821.1957397460938,-0.0113592147827148,2.480210469002486e-06,139.81790161132812,5.738508701324463,3.1345812203653622e-06,777.2742309570312,554.8219604492188,6.85974509906373e-06,781.3107299804688,553.0125122070312,0.0001797233999241,782.0964965820312,552.0155639648438,0.2111933678388595,CDKL_P_CD7
40,139.21327209472656,4.0126953125,2.114395465468988e-05,143.55775451660156,1.437666893005371,2.640101911310921e-06,139.94308471679688,5.583932876586914,4.2829892663576175e-06,777.2034301757812,554.7280883789062,5.841499842063058e-06,781.2537841796875,552.7493286132812,0.0001537729549454,782.1334838867188,551.9319458007812,0.1580035537481308,CDKL_P_CD7
41,139.07565307617188,4.170686721801758,1.9228817109251395e-05,143.60801696777344,1.564513921737671,2.2441165583586557e-06,139.9573974609375,5.779196739196777,3.4831975881388644e-06,781.0835571289062,554.75,6.601138466066914e-06,781.3983154296875,552.9981079101562,0.00017705684877,782.1802978515625,551.9257202148438,0.2196332514286041,CDKL_P_CD7
42,139.15574645996094,4.006743431091309,1.763892032613512e-05,143.6436767578125,1.5239522457122805,2.070650907626259e-06,139.98716735839844,5.613072872161865,3.204426320735365e-06,776.85498046875,554.713134765625,8.523645192326512e-06,780.828125,552.8661499023438,0.000245408329647,781.7589721679688,551.8856201171875,0.1929713636636734,CDKL_P_CD7
43,139.15191650390625,4.03679895401001,1.925522337842267e-05,781.5084838867188,556.7725830078125,2.244396910100477e-06,139.96836853027344,5.736306190490723,3.728430783667136e-06,776.972900390625,554.8460693359375,7.789865776430815e-06,781.0455932617188,553.0956420898438,0.0002653532137628,781.8570556640625,552.0302124023438,0.2327128052711486,CDKL_P_CD7
44,139.18545532226562,4.046764850616455,1.8980981622007675e-05,143.48472595214844,1.562922716140747,2.205190412496449e-06,140.01968383789062,5.669912815093994,3.6801473015657393e-06,776.994384765625,554.8452758789062,7.473211553588044e-06,781.0186157226562,553.044189453125,0.0002925873850472,781.8485107421875,551.971435546875,0.2108620405197143,CDKL_P_CD7
45,138.8675994873047,4.0376691818237305,2.4497996491845697e-05,781.0578002929688,556.47265625,6.73571958031971e-06,139.8525848388672,5.663938999176025,5.222361323831137e-06,779.9822998046875,554.8328247070312,2.070082155114505e-05,780.40673828125,553.0106811523438,0.0005347616388462,781.2603759765625,551.9641723632812,0.4853107631206512,CDKL_P_CD7
46,138.78549194335938,4.040171146392822,2.21563495870214e-05,781.3095092773438,556.8057861328125,3.342648824400385e-06,139.89015197753906,5.757771015167236,4.561561127047753e-06,780.4147338867188,554.8975830078125,1.078632521966938e-05,780.8135986328125,552.9673461914062,0.0003568743413779,781.7512817382812,551.9097290039062,0.3028541207313537,CDKL_P_CD7
47,138.7300567626953,4.048996925354004,2.0013067114632577e-05,143.39691162109375,1.667402744293213,2.206844101237948e-06,139.839111328125,5.827970504760742,3.8734174268029165e-06,776.9573364257812,554.7378540039062,7.101326900738059e-06,780.8704223632812,552.81689453125,0.0002714652800932,781.8060913085938,551.873291015625,0.1954895108938217,CDKL_P_CD7
48,138.85498046875,4.117438793182373,1.9618930309661664e-05,781.5302734375,556.78369140625,2.5982567422033757e-06,139.8223419189453,5.805922985076904,3.6473318232310703e-06,780.6688842773438,554.8464965820312,9.292273716710042e-06,781.0595092773438,552.9825439453125,0.0003512667899485,782.0125122070312,551.9788208007812,0.2660500109195709,CDKL_P_CD7
49,138.9630889892578,3.988073110580444,2.0710554963443428e-05,781.4143676757812,556.7724609375,2.43413046518981e-06,139.87515258789062,5.682137489318848,4.192153483018046e-06,777.0531005859375,554.6880493164062,8.665140740049537e-06,780.8615112304688,552.9033203125,0.0002802724193315,781.8723754882812,551.8847045898438,0.2588698267936706,CDKL_P_CD7
51,138.97093200683594,4.166841983795166,1.874180634331424e-05,781.4965209960938,556.633544921875,2.071045855700504e-06,139.92140197753906,5.779071807861328,3.345305458424264e-06,776.93994140625,554.5664672851562,8.137651093420573e-06,780.7869262695312,552.77001953125,0.000265383569058,781.8185424804688,551.8880004882812,0.1983793526887893,CDKL_P_CD7
52,138.9334259033203,4.260834217071533,1.7668839063844644e-05,781.2020263671875,556.71826171875,2.673172048162087e-06,139.93472290039062,5.844223976135254,3.0715914363099728e-06,776.7393798828125,554.7289428710938,1.0060576641990338e-05,780.5000610351562,552.7998657226562,0.0003151642449665,781.4612426757812,551.891845703125,0.2861004173755646,CDKL_P_CD7
53,138.95037841796875,4.246730804443359,1.679386514297221e-05,781.4260864257812,556.7407836914062,2.452521812301711e-06,139.9923095703125,5.910696029663086,2.8050851597072324e-06,780.5416259765625,554.7516479492188,8.285853255074471e-06,780.7987060546875,552.8992309570312,0.0003685982665047,781.8016357421875,551.9273071289062,0.2333960086107254,CDKL_P_CD7
54,138.8642578125,4.19223690032959,1.487357440055348e-05,781.4015502929688,556.8099975585938,2.943614390460425e-06,139.93637084960938,5.942111015319824,2.452257604090846e-06,780.5113525390625,554.8294677734375,9.584752660884988e-06,780.8350830078125,552.9080810546875,0.0003349571197759,781.8095703125,551.8618774414062,0.2787507176399231,CDKL_P_CD7
55,138.92662048339844,4.206058025360107,1.4931344594515394e-05,781.2787475585938,556.6318359375,2.774492031676345e-06,139.98599243164062,5.873076438903809,2.524174078644137e-06,776.9566650390625,554.7357788085938,9.890020919556264e-06,780.7716064453125,553.0753173828125,0.0003519096644595,781.7813110351562,552.0411987304688,0.2805638909339905,CDKL_P_CD7
56,138.94155883789062,4.095296382904053,1.6266489183180965e-05,781.31494140625,556.6126708984375,2.303722794749774e-06,139.99661254882812,5.813791751861572,2.7746268642658838e-06,776.9710693359375,554.6826171875,8.427692591794766e-06,780.82470703125,552.8837890625,0.0002941250568255,781.778076171875,551.9959716796875,0.2538001835346222,CDKL_P_CD7
57,138.89779663085938,4.09684944152832,1.5518347936449572e-05,781.2340698242188,556.6522827148438,3.0261664960562484e-06,139.98239135742188,5.885753154754639,2.5696447210066253e-06,780.4454345703125,554.7896728515625,1.0301963811798489e-05,780.7765502929688,553.0838623046875,0.00033224109211,781.780029296875,552.061767578125,0.289732813835144,CDKL_P_CD7
58,139.07894897460938,4.083793640136719,1.6677928215358406e-05,781.5667724609375,556.79345703125,2.606093630674877e-06,139.9497528076172,5.743562698364258,2.746753807514324e-06,780.9553833007812,554.7562866210938,8.833768333715852e-06,781.306396484375,553.1237182617188,0.0002713822177611,782.0999145507812,552.0794677734375,0.2517313659191131,CDKL_P_CD7
59,139.40963745117188,4.049252986907959,2.1253363229334354e-05,781.4970703125,556.6903076171875,2.634483280417044e-06,140.09213256835938,5.531665802001953,3.7194208744040233e-06,777.1236572265625,554.8364868164062,9.343270903627854e-06,781.0867309570312,553.1403198242188,0.0003382840368431,781.9572143554688,552.178955078125,0.2564739286899566,CDKL_P_CD7
60,139.03871154785156,4.030374526977539,2.025051435339265e-05,781.36669921875,556.5650024414062,2.255939762108028e-06,139.86093139648438,5.762109756469727,3.497874104141374e-06,776.913818359375,554.8295288085938,9.85376573225949e-06,780.8189697265625,553.09765625,0.0003691023157443,781.7965698242188,552.1414184570312,0.2322193682193756,CDKL_P_CD7
62,139.01632690429688,4.18890905380249,1.9727596736629494e-05,781.235595703125,556.5010375976562,3.648806568889995e-06,139.89686584472656,5.857832908630371,3.3586738936719485e-06,780.370361328125,554.7088623046875,1.1536328202055302e-05,780.7369995117188,553.0604248046875,0.0003439832071308,781.7077026367188,552.0139770507812,0.2907234728336334,CDKL_P_CD7
