bodypartscoords,nosex,nose.1y,nose.2likelihood,earLx.1,earL.1y.1,earL.2likelihood.1,earRx.2,earR.1y.2,earR.2likelihood.2,schoulderLx.3,schoulderL.1y.3,schoulderL.2likelihood.3,schoulderRx.4,schoulderR.1y.4,schoulderR.2likelihood.4,tailbasex.5,tailbase.1y.5,tailbase.2likelihood.5,videoname
0,139.00473022460938,4.313610553741455,1.2575305845530238e-05,143.35855102539062,1.7438385486602783,1.577019929754897e-06,139.8454132080078,5.701021194458008,2.350217073399108e-06,780.9564819335938,554.6605834960938,4.9782161113398615e-06,781.18701171875,552.7521362304688,0.000178181217052,782.0094604492188,552.1392211914062,0.1519160568714141,CDKL_P_CD6
1,139.00473022460938,4.313610553741455,1.2575305845530238e-05,143.35855102539062,1.7438385486602783,1.577019929754897e-06,139.8454132080078,5.701021194458008,2.350217073399108e-06,780.9564819335938,554.6605834960938,4.9782161113398615e-06,781.18701171875,552.7521362304688,0.000178181217052,782.0094604492188,552.1392211914062,0.1519160568714141,CDKL_P_CD6
2,139.06600952148438,4.3839640617370605,1.2647708899748976e-05,143.4595184326172,1.7947347164154053,1.422514174009848e-06,139.89566040039062,5.680393695831299,2.333106749574654e-06,777.3319702148438,554.8334350585938,3.672892717077048e-06,781.2457275390625,552.4804077148438,0.0001284734753426,782.0211791992188,552.0502319335938,0.0771403685212135,CDKL_P_CD6
3,139.00595092773438,4.29559850692749,1.1181940863025376e-05,143.48548889160156,1.7122430801391602,1.2767155794790597e-06,139.8109588623047,5.740500450134277,2.0792765553778736e-06,777.2330932617188,554.8723754882812,4.6106238187348936e-06,781.112060546875,552.5457153320312,0.0001574688358232,781.9131469726562,552.1010131835938,0.1066986098885536,CDKL_P_CD6
4,138.9939422607422,4.332042694091797,1.2008320481982082e-05,143.47549438476562,1.7100625038146973,1.375329702568706e-06,139.83926391601562,5.763967514038086,2.28031035476306e-06,777.367919921875,554.8955078125,4.060118499182863e-06,781.2515869140625,552.5619506835938,0.0001566495047882,781.9978637695312,552.0880126953125,0.121339313685894,CDKL_P_CD6
5,138.98135375976562,4.304413795471191,1.3944449165137485e-05,143.32098388671875,1.8086678981781008,1.6004130429791983e-06,139.78233337402344,5.7377238273620605,2.6771240300149657e-06,777.406005859375,554.985107421875,3.906154233845882e-06,781.2874755859375,552.711669921875,0.0001496099721407,782.1245727539062,552.2117919921875,0.0970099419355392,CDKL_P_CD6
6,139.0230255126953,4.237764835357666,1.2061240340699442e-05,143.31512451171875,1.6502416133880615,1.3437867210086551e-06,139.75,5.719563484191895,2.228541461590794e-06,777.4111938476562,554.7565307617188,2.5402889605175005e-06,781.347900390625,552.481201171875,9.756912913871928e-05,782.1411743164062,552.0784301757812,0.0517924837768077,CDKL_P_CD6
7,139.01036071777344,4.275694847106934,1.132305169448955e-05,821.485595703125,0.3281092643737793,1.2955092643096575e-06,139.79322814941406,5.753690719604492,2.227317509095883e-06,777.4717407226562,554.80322265625,2.919554162872373e-06,781.3768310546875,552.628173828125,0.0001158209997811,782.1773681640625,552.0838623046875,0.0654816776514053,CDKL_P_CD6
8,138.90054321289062,4.254451274871826,1.203210649691755e-05,143.44052124023438,1.6832773685455322,1.419965883542318e-06,139.7698516845703,5.805670261383057,2.363787189096911e-06,777.4137573242188,554.8179931640625,3.4232357393193524e-06,781.3253784179688,552.6057739257812,0.0001518261560704,782.1592407226562,552.0985717773438,0.0742027834057807,CDKL_P_CD6
9,138.91885375976562,4.298752307891846,1.3234505786385853e-05,143.41842651367188,1.6951310634613037,1.6044534731918247e-06,139.82745361328125,5.840911865234375,2.685549816305865e-06,777.2223510742188,554.8208618164062,3.7879322007938754e-06,781.1168823242188,552.5549926757812,0.0001230244961334,782.00830078125,552.1024169921875,0.063821755349636,CDKL_P_CD6
