bodypartscoords,nosex,nose.1y,nose.2likelihood,earLx.1,earL.1y.1,earL.2likelihood.1,earRx.2,earR.1y.2,earR.2likelihood.2,schoulderLx.3,schoulderL.1y.3,schoulderL.2likelihood.3,schoulderRx.4,schoulderR.1y.4,schoulderR.2likelihood.4,tailbasex.5,tailbase.1y.5,tailbase.2likelihood.5,videoname
0,-0.2285585403442382,3.3736040592193604,2.0394942112034187e-05,-0.2058858871459961,2.2911863327026367,1.3115633009874728e-05,1.5165894031524658,5.406919479370117,2.226354445156176e-05,1.5926969051361084,4.311520099639893,4.01723582399427e-06,0.1082298755645752,4.294510841369629,2.868500268959906e-05,2.6364974975585938,5.226675033569336,1.3686875718121884e-05,CDKL_OLR_Prob_CKL215
1,-0.2285585403442382,3.3736040592193604,2.0394942112034187e-05,-0.2058858871459961,2.2911863327026367,1.3115633009874728e-05,1.5165894031524658,5.406919479370117,2.226354445156176e-05,1.5926969051361084,4.311520099639893,4.01723582399427e-06,0.1082298755645752,4.294510841369629,2.868500268959906e-05,2.6364974975585938,5.226675033569336,1.3686875718121884e-05,CDKL_OLR_Prob_CKL215
2,-0.212801456451416,3.39455509185791,1.9636356228147637e-05,-0.2130708694458007,2.276851177215576,1.2460690413718112e-05,1.576362371444702,5.428374290466309,2.107193176925648e-05,1.6158688068389893,4.322201728820801,3.830383320746478e-06,0.1480324268341064,4.241917610168457,2.714540642045904e-05,2.6032986640930176,5.224889755249023,1.2861147297371645e-05,CDKL_OLR_Prob_CKL215
3,-0.1858677864074707,3.41890025138855,1.8401255147182383e-05,-0.2369780540466308,2.277494430541992,1.1436557542765511e-05,1.494673490524292,5.459140777587891,2.0136087186983787e-05,1.6247103214263916,4.30559778213501,3.4761358165269485e-06,0.1735668182373047,4.271727561950684,2.551984289311804e-05,2.6260128021240234,5.237618923187256,1.1904729035450146e-05,CDKL_OLR_Prob_CKL215
4,-0.1997342109680175,3.4161744117736816,1.8160377294407223e-05,-0.2203984260559082,2.28159761428833,1.1272038136667106e-05,1.5061943531036377,5.456604957580566,1.9731080101337284e-05,1.6383037567138672,4.31193733215332,3.4199956644442864e-06,0.1755290031433105,4.269746780395508,2.5002114853123203e-05,2.5986995697021484,5.236886024475098,1.1653738511085976e-05,CDKL_OLR_Prob_CKL215
6,-0.2000117301940918,3.4249515533447266,1.8135333448299207e-05,-0.2361354827880859,2.273163080215454,1.1270908544247504e-05,1.4750723838806152,5.459437370300293,1.95703669305658e-05,1.6158432960510254,4.302941799163818,3.4371223591733724e-06,0.1391599178314209,4.273318290710449,2.5178265786962584e-05,2.6215476989746094,5.255379676818848,1.176529531221604e-05,CDKL_OLR_Prob_CKL215
7,-0.2015538215637207,3.412803888320923,1.83270349225495e-05,-0.2432713508605957,2.2786879539489746,1.1409922080929393e-05,1.4612324237823486,5.452675342559815,1.9842656911350787e-05,1.6154236793518066,4.309078216552734,3.474793629720807e-06,0.132826566696167,4.281105995178223,2.5429468223592263e-05,2.620088577270508,5.249691963195801,1.193122170661809e-05,CDKL_OLR_Prob_CKL215
8,-0.2214808464050293,3.40893292427063,1.859730764408596e-05,-0.2474451065063476,2.29378604888916,1.1505027032399084e-05,1.4789025783538818,5.477000236511231,2.0123035938013345e-05,1.6193764209747314,4.32636308670044,3.5066218515567016e-06,0.1319127082824707,4.282174110412598,2.5853029001154937e-05,2.631967067718506,5.242339611053467,1.2099812011001632e-05,CDKL_OLR_Prob_CKL215
9,-0.2037820816040039,3.401259422302246,1.8219461708213203e-05,-0.2308287620544433,2.2773494720458984,1.1204121619812211e-05,1.5033965110778809,5.486959457397461,1.960810186574236e-05,1.6187787055969238,4.319511413574219,3.3772066672099754e-06,0.1471467018127441,4.277050018310547,2.487525671313051e-05,2.640681266784668,5.247093677520752,1.1697832633217333e-05,CDKL_OLR_Prob_CKL215
10,-0.2020506858825683,3.4005558490753174,1.860903466877062e-05,-0.2343049049377441,2.28076720237732,1.152080403699074e-05,1.4742765426635742,5.473935604095459,2.012952245422639e-05,1.613386631011963,4.313318729400635,3.5012549233215395e-06,0.1407597064971923,4.278511047363281,2.55981049122056e-05,2.6479265689849854,5.249662399291992,1.2090112250007223e-05,CDKL_OLR_Prob_CKL215
11,-0.2034716606140136,3.403724670410156,1.875328416645061e-05,-0.2366652488708496,2.2781219482421875,1.1658851690299343e-05,1.4682648181915283,5.456064224243164,2.032761949521955e-05,1.6163301467895508,4.316533088684082,3.550670953700319e-06,0.1310045719146728,4.268379211425781,2.5814350010477934e-05,2.6310253143310547,5.243093013763428,1.2281555427762214e-05,CDKL_OLR_Prob_CKL215
13,-0.1703572273254394,3.3908779621124268,1.9327340851305053e-05,-0.2222681045532226,2.2413721084594727,1.1853239811898677e-05,1.524817705154419,5.479952335357666,2.0930814571329392e-05,1.6386222839355469,4.323424339294434,3.6438896131585352e-06,0.1965289115905761,4.260744571685791,2.6109220925718543e-05,2.6283187866210938,5.22617244720459,1.2532947948784567e-05,CDKL_OLR_Prob_CKL215
14,-0.1311149597167968,3.4142045974731445,1.946705742739141e-05,-0.2235350608825683,2.221851348876953,1.1828036804217844e-05,1.5080680847167969,5.462630271911621,2.1071447918075137e-05,1.621187686920166,4.300909519195557,3.620522193159559e-06,0.2035412788391113,4.2603373527526855,2.5704859581310305e-05,2.618321895599365,5.229491233825684,1.236563275597291e-05,CDKL_OLR_Prob_CKL215
15,-0.1306853294372558,3.4173014163970947,1.9118941054330207e-05,-0.2114815711975097,2.2137880325317383,1.1606866792135406e-05,1.5097718238830566,5.464270114898682,2.0636112822103317e-05,1.6278653144836426,4.303828239440918,3.5595742247096496e-06,0.2113418579101562,4.258560180664063,2.532180405978579e-05,2.616779088973999,5.242059707641602,1.2122022781113628e-05,CDKL_OLR_Prob_CKL215
16,-0.1181292533874511,3.4139742851257324,1.934648207679857e-05,-0.2002844810485839,2.2206029891967773,1.1761224413930904e-05,1.5076699256896973,5.457245349884033,2.094293449772522e-05,1.6352825164794922,4.3141398429870605,3.59362161361787e-06,0.2114820480346679,4.253780841827393,2.565766772022471e-05,2.6229968070983887,5.239194393157959,1.2313711522438098e-05,CDKL_OLR_Prob_CKL215
