bodypartscoords,nosex,nose.1y,nose.2likelihood,earLx.1,earL.1y.1,earL.2likelihood.1,earRx.2,earR.1y.2,earR.2likelihood.2,schoulderLx.3,schoulderL.1y.3,schoulderL.2likelihood.3,schoulderRx.4,schoulderR.1y.4,schoulderR.2likelihood.4,tailbasex.5,tailbase.1y.5,tailbase.2likelihood.5,videoname
0,139.05966186523438,4.100480079650879,1.6375472114305012e-05,781.474853515625,556.0592651367188,3.30483385369007e-06,139.62930297851562,5.620279312133789,3.3960877772187814e-06,780.3307495117188,554.5625610351562,1.072307441063458e-05,780.7266845703125,552.8113403320312,0.0005577652482315,781.526611328125,551.9869995117188,0.2642469108104706,CDKL_P_CD9
1,139.05966186523438,4.100480079650879,1.6375472114305012e-05,781.474853515625,556.0592651367188,3.30483385369007e-06,139.62930297851562,5.620279312133789,3.3960877772187814e-06,780.3307495117188,554.5625610351562,1.072307441063458e-05,780.7266845703125,552.8113403320312,0.0005577652482315,781.526611328125,551.9869995117188,0.2642469108104706,CDKL_P_CD9
2,138.9105987548828,4.076762199401856,1.458207225368824e-05,781.6112060546875,556.3060913085938,1.9182652977178805e-06,139.6935577392578,5.727262020111084,2.9905224891990656e-06,777.1245727539062,554.8659057617188,7.600233402627055e-06,780.9764404296875,552.778076171875,0.0003518960729707,781.8042602539062,552.1129150390625,0.1949236541986465,CDKL_P_CD9
3,139.0073699951172,4.145422458648682,1.413505287928274e-05,143.22862243652344,1.7427845001220703,1.689004648142145e-06,139.7467498779297,5.70081901550293,2.917397068813443e-06,777.240234375,554.8007202148438,5.154662176209968e-06,781.2161865234375,552.7418212890625,0.0002332385629415,782.0323486328125,552.1161499023438,0.1042037606239318,CDKL_P_CD9
4,139.06265258789062,4.140848159790039,1.4048025150259493e-05,143.23904418945312,1.7444148063659668,1.7083226566683152e-06,139.8014678955078,5.680868148803711,2.931648850790225e-06,777.2955932617188,554.824951171875,5.941388735664077e-06,781.31591796875,552.8037109375,0.0002360599610256,782.10205078125,552.1156005859375,0.1569937765598297,CDKL_P_CD9
5,139.04965209960938,4.228824138641357,1.5006519788585138e-05,143.23056030273438,1.7860839366912842,1.827993628467084e-06,139.8026885986328,5.7177042961120605,3.294549969723448e-06,777.115234375,554.952880859375,5.339021299732849e-06,780.994384765625,552.749267578125,0.0002036404475802,781.8977661132812,552.216552734375,0.1280819624662399,CDKL_P_CD9
7,139.02542114257812,4.247920989990234,1.7189162463182583e-05,143.32803344726562,1.920795202255249,2.0681820842582965e-06,139.84799194335938,5.780047416687012,3.6610235838452354e-06,777.3320922851562,554.9435424804688,4.390485628391616e-06,781.1520385742188,552.6843872070312,0.0001695757528068,782.0465087890625,552.1586303710938,0.1006978973746299,CDKL_P_CD9
8,139.0072479248047,4.271662712097168,1.780189631972462e-05,143.3155975341797,1.8388071060180664,2.029690904237213e-06,139.82757568359375,5.684593200683594,3.6356043437990593e-06,776.928466796875,554.827880859375,5.266930656944169e-06,780.6746215820312,552.3993530273438,0.0001745866175042,781.5468139648438,551.9666748046875,0.1059261634945869,CDKL_P_CD9
9,138.98342895507812,4.259372234344482,1.6457412129966542e-05,143.3420867919922,1.820476770401001,1.939474714163225e-06,139.79037475585938,5.753103256225586,3.3058333883673185e-06,777.0650024414062,554.8653564453125,4.556799922283972e-06,780.9030151367188,552.4171752929688,0.0001695917599136,781.8228759765625,552.080810546875,0.0877040475606918,CDKL_P_CD9
10,138.99598693847656,4.209738731384277,1.8106942661688663e-05,143.1903533935547,1.842118501663208,2.2644217096967623e-06,139.76675415039062,5.768952369689941,3.919214123015991e-06,777.25830078125,555.0106811523438,6.132040198281175e-06,780.9678344726562,552.6461181640625,0.0002278650790685,781.7666625976562,552.17138671875,0.1609558910131454,CDKL_P_CD9
11,138.95440673828125,4.213399887084961,1.8383203496341597e-05,143.2816619873047,1.8086321353912356,2.2566778170585167e-06,139.84759521484375,5.764415740966797,3.7221675484033767e-06,777.13818359375,554.9342041015625,5.2549798965628725e-06,780.9168090820312,552.5610961914062,0.0002460106334183,781.70751953125,552.019775390625,0.1345570832490921,CDKL_P_CD9
13,138.97052001953125,4.148736000061035,1.9689892724272795e-05,143.23890686035156,1.8128080368041992,2.456367838021833e-06,139.90576171875,5.706011772155762,3.7670413348678262e-06,776.9013061523438,554.9738159179688,6.840003607067047e-06,780.732666015625,552.6844482421875,0.0002522078866604,781.5255126953125,552.001953125,0.1716908812522888,CDKL_P_CD9
14,139.07302856445312,4.21218204498291,2.068045978376176e-05,143.33737182617188,1.7588441371917725,2.555426590333809e-06,139.92172241210938,5.725577831268311,4.163240646448685e-06,776.7850341796875,554.8165893554688,6.138932803878561e-06,780.5697021484375,552.513916015625,0.0001970481825992,781.4544677734375,551.9376831054688,0.142723798751831,CDKL_P_CD9
15,138.9746856689453,4.170971393585205,1.5889983842498623e-05,143.269775390625,1.73262619972229,2.0082475202798378e-06,139.875,5.719741344451904,3.2235216167464387e-06,776.9258422851562,554.9017333984375,6.428667802538257e-06,780.64990234375,552.45263671875,0.0001997550280066,781.5237426757812,551.9750366210938,0.1736394315958023,CDKL_P_CD9
16,139.06521606445312,4.184296607971191,1.653563231229782e-05,143.34725952148438,1.7664718627929688,2.110854438797105e-06,139.92835998535156,5.73734188079834,3.5259367905382533e-06,777.08935546875,554.9002075195312,5.217099896981381e-06,780.805419921875,552.4642944335938,0.0001736522244755,781.6897583007812,552.019775390625,0.1465413272380828,CDKL_P_CD9
17,139.0606689453125,4.18140983581543,1.82062758540269e-05,143.34912109375,1.762160301208496,2.329298467884655e-06,139.94387817382812,5.719796180725098,3.8657308323308825e-06,777.1682739257812,554.9624633789062,6.273260623856913e-06,780.8995971679688,552.6666870117188,0.0002267463423777,781.7050170898438,552.1649169921875,0.2052469402551651,CDKL_P_CD9
18,139.08213806152344,4.252828598022461,2.015798963839188e-05,143.4088897705078,1.904487371444702,2.4079822651401628e-06,139.95816040039062,5.754990100860596,4.026210717711365e-06,777.0853271484375,555.056396484375,5.902386874367949e-06,780.783447265625,552.7041625976562,0.0002489594044163,781.6994018554688,552.1607666015625,0.1552034765481948,CDKL_P_CD9
19,138.99253845214844,4.239584922790527,1.9359142243047245e-05,143.27870178222656,1.856961727142334,2.3222405616252217e-06,139.92889404296875,5.7664947509765625,4.001253728347365e-06,777.237548828125,554.9530639648438,4.382734005048405e-06,781.1287231445312,552.7255859375,0.0002004126436077,782.0559692382812,552.2335815429688,0.0933187156915664,CDKL_P_CD9
20,139.08590698242188,4.152116775512695,2.0714369384222664e-05,143.31027221679688,1.8665289878845213,2.678776581888087e-06,139.92100524902344,5.664131164550781,4.6135401134961285e-06,777.1375122070312,554.8541259765625,6.03502621743246e-06,781.0609130859375,552.6829223632812,0.000251584657235,781.8924560546875,552.1151123046875,0.1387360244989395,CDKL_P_CD9
21,138.9191131591797,4.121188640594482,1.951400736288633e-05,143.2061767578125,1.7901880741119385,2.3928964765218552e-06,139.84181213378906,5.668396472930908,3.952360657422105e-06,777.0108032226562,554.9514770507812,7.688678124395665e-06,781.0438232421875,552.9345703125,0.0003747991868294,781.8580932617188,552.2242431640625,0.1609406769275665,CDKL_P_CD9
22,139.0625762939453,4.038124561309815,2.2747719413018785e-05,143.25140380859375,1.815643548965454,2.990582743223058e-06,139.9467010498047,5.666070938110352,5.294669335853541e-06,777.0665893554688,555.017822265625,6.970760296098888e-06,781.0634155273438,552.9036254882812,0.0002935997617896,781.871826171875,552.2409057617188,0.1693032830953598,CDKL_P_CD9
23,139.0538787841797,4.108921051025391,2.0301253243815157e-05,143.23123168945312,1.851778507232666,2.6472498575458303e-06,139.92845153808594,5.592993259429932,4.393564267957117e-06,776.5739135742188,554.889892578125,5.602095370704774e-06,780.4724731445312,552.4223022460938,0.0002341152867302,781.3804321289062,551.9000854492188,0.1018664166331291,CDKL_P_CD9
24,138.96585083007812,4.1048903465271,1.890189923869912e-05,143.234130859375,1.801745891571045,2.418612893961836e-06,139.86544799804688,5.719658374786377,4.1493835851724725e-06,777.0298461914062,554.7438354492188,4.3754798753070645e-06,781.0389404296875,552.52783203125,0.0001739850413287,781.8963623046875,551.9013671875,0.0765149891376495,CDKL_P_CD9
25,138.9877471923828,4.085601329803467,2.1138854208402336e-05,143.3870849609375,1.7861874103546145,2.5226365778507898e-06,139.90347290039062,5.697352409362793,4.487377282202942e-06,776.8802490234375,554.7675170898438,4.685701242124196e-06,780.99072265625,552.6287231445312,0.0002030911127803,781.8711547851562,552.0352172851562,0.0736592710018158,CDKL_P_CD9
26,139.1093292236328,4.051261425018311,2.681396836123895e-05,143.3853759765625,1.760881423950195,3.251004727644613e-06,139.8761749267578,5.579204559326172,5.665898243023548e-06,776.9644165039062,554.8272094726562,5.428598342405167e-06,780.9877319335938,552.5760498046875,0.0002027948648901,781.8580322265625,551.9409790039062,0.1078267022967338,CDKL_P_CD9
28,139.00909423828125,4.139621734619141,1.7997568647842854e-05,143.3046112060547,1.758781671524048,2.1928258320258465e-06,139.767822265625,5.640647411346436,3.5902546642319062e-06,777.1112670898438,554.8990478515625,5.499287453858415e-06,781.1243286132812,552.79296875,0.0001883739751065,782.0526733398438,552.0516967773438,0.1332019865512848,CDKL_P_CD9
29,139.1546173095703,4.136142253875732,1.7013013348332606e-05,143.3550567626953,1.7457704544067385,1.9988372059742687e-06,139.8713836669922,5.5949907302856445,3.495950068099773e-06,777.1077270507812,554.8323364257812,4.6600057430623565e-06,781.1517333984375,552.6099853515625,0.0001999385276576,782.0482177734375,551.9766845703125,0.0865014344453811,CDKL_P_CD9
30,139.16676330566406,4.122422695159912,1.828201493481174e-05,143.3445587158203,1.819728136062622,2.10483199225564e-06,139.84136962890625,5.615182876586914,3.925468718080083e-06,776.968994140625,554.806884765625,5.524903372133849e-06,780.966796875,552.5897216796875,0.0002362964005442,781.7971801757812,551.881591796875,0.1183564886450767,CDKL_P_CD9
31,139.2144775390625,4.2280683517456055,1.839006108639296e-05,143.32525634765625,1.8564467430114744,2.2048204755265037e-06,139.8984375,5.567695140838623,3.870511591230752e-06,776.9154052734375,554.9008178710938,6.740945082128746e-06,780.802001953125,552.6832885742188,0.0003319621609989,781.6921997070312,551.9327392578125,0.1506933718919754,CDKL_P_CD9
32,155.164794921875,3.95756721496582,1.729078394419048e-05,143.3895721435547,1.6822285652160645,2.0853035493928478e-06,139.8676300048828,5.555207252502441,3.676916321637691e-06,776.9139404296875,554.6790161132812,6.48570357952849e-06,780.9306640625,552.6063842773438,0.000268402218353,781.8008422851562,551.8426513671875,0.1116295531392097,CDKL_P_CD9
34,139.12615966796875,4.095004081726074,1.7326388842775486e-05,143.3485870361328,1.6413331031799316,2.18051582123735e-06,139.85134887695312,5.617703437805176,3.895284407917643e-06,777.0263671875,554.79833984375,6.428937922464684e-06,780.8609619140625,552.7041015625,0.000219544803258,781.6856689453125,551.9930419921875,0.154606893658638,CDKL_P_CD9
35,139.0392303466797,4.13949728012085,1.921343755384441e-05,143.29827880859375,1.7453794479370115,2.30747832574707e-06,139.79197692871094,5.618696212768555,4.02631076212856e-06,776.9989624023438,554.728515625,6.207718797668349e-06,780.855712890625,552.707275390625,0.0001926842523971,781.6675415039062,552.0059204101562,0.1457370221614837,CDKL_P_CD9
36,138.943603515625,4.157956600189209,1.6700960259186104e-05,143.23497009277344,1.719493389129639,2.00831277652469e-06,139.72027587890625,5.715376853942871,3.451368002060917e-06,777.2556762695312,554.807373046875,5.2648970267910045e-06,781.229248046875,552.8238525390625,0.0001920415525091,782.0602416992188,552.0352172851562,0.1401097029447555,CDKL_P_CD9
37,139.1742706298828,3.998993158340454,1.721074659144506e-05,143.2405242919922,1.6469459533691406,2.009094487220864e-06,139.74021911621094,5.500331401824951,3.5043419757130323e-06,777.203125,554.8180541992188,5.264695573714562e-06,781.188232421875,552.80224609375,0.0002052067575277,782.0887451171875,552.0741577148438,0.1222783550620079,CDKL_P_CD9
38,139.134521484375,4.099975109100342,1.594178866071161e-05,143.31344604492188,1.6952776908874512,1.902805365716631e-06,139.7812042236328,5.568987846374512,3.345573304613936e-06,776.9678955078125,554.7825927734375,6.86553676132462e-06,780.8716430664062,552.7572631835938,0.0002280091721331,781.7875366210938,552.0895385742188,0.1470442861318588,CDKL_P_CD9
39,155.27308654785156,3.89038610458374,1.645810334593989e-05,143.31898498535156,1.673407793045044,1.937657543749083e-06,139.82376098632812,5.756277084350586,3.301123342680512e-06,777.013916015625,554.748046875,5.213767508394085e-06,780.9301147460938,552.6190185546875,0.0001733131211949,781.8555908203125,552.0347290039062,0.0984644517302513,CDKL_P_CD9
40,139.13873291015625,4.13395881652832,1.769664595485665e-05,143.27064514160156,1.7031464576721191,1.992282932405942e-06,139.830810546875,5.613033771514893,3.679182100313483e-06,777.04150390625,554.8243408203125,4.621021616912913e-06,780.98779296875,552.6414794921875,0.0001612264895811,781.9812622070312,552.1073608398438,0.0678001642227172,CDKL_P_CD9
41,139.1681671142578,4.127791404724121,2.3215001419885084e-05,143.22084045410156,1.830904960632324,2.5680228645796888e-06,139.81402587890625,5.613136291503906,4.576877927320311e-06,777.2152709960938,554.8228759765625,4.75094520879793e-06,781.20458984375,552.7094116210938,0.0001607149170013,782.1160888671875,552.0977172851562,0.0853887721896171,CDKL_P_CD9
42,139.10275268554688,4.174788951873779,2.028310154855717e-05,143.34979248046875,1.688234567642212,2.267913941977895e-06,139.79701232910156,5.571757316589356,4.057788373756921e-06,777.1866455078125,554.868408203125,5.6164476518461015e-06,781.0457153320312,552.6529541015625,0.0001931862789206,781.9117431640625,552.1322631835938,0.1174854412674903,CDKL_P_CD9
43,139.22476196289062,4.179551124572754,2.0692592443083413e-05,143.3971405029297,1.825999736785889,2.3160655473475344e-06,139.8860321044922,5.525845050811768,4.134353730478324e-06,777.1128540039062,554.91748046875,6.316489816526882e-06,780.9867553710938,552.7496948242188,0.0001953292812686,781.8711547851562,552.1858520507812,0.1514540612697601,CDKL_P_CD9
44,139.1387939453125,4.232350826263428,1.787411019904539e-05,143.2963409423828,1.8544158935546875,2.0323677745182067e-06,139.7415771484375,5.5823655128479,3.5783723433269188e-06,777.3704223632812,554.7186279296875,3.850464963761624e-06,781.239013671875,552.6776123046875,0.0001609105675015,782.0980224609375,552.14599609375,0.0675784721970558,CDKL_P_CD9
45,139.14328002929688,4.178863525390625,2.39609998970991e-05,781.3775024414062,556.4178466796875,3.679736437334213e-06,139.58770751953125,5.573478698730469,4.435368737176759e-06,780.2822265625,554.8070678710938,1.2058526408509351e-05,780.6622314453125,552.8997192382812,0.0004500540089793,781.4763793945312,552.062744140625,0.3353699147701263,CDKL_P_CD9
46,139.09788513183594,4.195364952087402,2.749108716670889e-05,781.4608764648438,556.5505981445312,3.4431623134878464e-06,139.6819305419922,5.634114265441895,4.878848358202959e-06,780.4271850585938,554.8264770507812,1.1214160622330382e-05,780.8146362304688,553.011474609375,0.0002969236811622,781.6806640625,552.1267700195312,0.3374374806880951,CDKL_P_CD9
